charge_id,customer_id,user_id,amount,amount_refunded,currency,status,paid,payment_method,created,description,failure_code,failure_message,invoice_id,metadata,receipt_email,risk_level,risk_score
ch_1c0b05ae893801,cus_6c937303c2ffd7,1,29876,0,USD,succeeded,True,bank_transfer,2025-02-24 00:22:53.770962,Subscription payment for plan price_ddfb82cead42bd,,,in_1a980ee64fb1c3,"{""user_id"": ""1"", ""attempt"": 1}",,normal,21
ch_b54f64b57e318e,cus_8c5425711875b4,2,9900,0,GBP,succeeded,True,card_mastercard,2025-03-24 13:55:14.448947,Subscription payment for plan price_5f48f2c512acac,,,in_cd2e7d14f35b99,"{""user_id"": ""2"", ""attempt"": 1}",aallen@example.org,highest,47
ch_65c641f2ba516f,cus_8c5425711875b4,2,9556,2389,GBP,succeeded,True,google_pay,2025-04-02 16:10:18.350883,Subscription payment for plan price_5f48f2c512acac,,,in_71f12bf9e097d4,"{""user_id"": ""2"", ""attempt"": 2}",,elevated,22
ch_417a5567b6f577,cus_8c5425711875b4,2,9900,0,usd,succeeded,True,card_discover,2025-04-07 06:56:48.558166,Subscription payment for plan price_5f48f2c512acac,,,in_f60d720abaa1cc,"{""user_id"": ""2"", ""attempt"": 3}",jason07@example.net,normal,65
ch_b7d19900539e2b,cus_8c5425711875b4,2,9900,0,eur,succeeded,True,card_mastercard,2025-05-07 07:56:18.558166,Recurring payment - month 2,,,in_47d657eb551303,"{""user_id"": ""2"", ""recurring_month"": 2}",,normal,21
ch_7317aed4b39c58,cus_8c5425711875b4,2,9900,0,Eur,succeeded,True,card_mastercard,2025-06-06 07:56:18.558166,Recurring payment - month 3,,,in_9b80ad70ead45c,"{""user_id"": ""2"", ""recurring_month"": 3}",,normal,4
ch_d8d37f5d3609dd,cus_8c5425711875b4,2,9900,0,USD,succeeded,True,card_visa,2025-07-06 13:56:18.558166,Recurring payment - month 4,,,in_d893c42c88b05c,"{""user_id"": ""2"", ""recurring_month"": 4}",roy36@example.com,normal,29
ch_59c78b1a856d7c,cus_e84b8de42d9e8d,19,29900,0,Eur,failed,False,card_amex,2025-02-07 18:26:48.943598,Subscription payment for plan price_9bb82d0e75aa7f,processing_error,Your card was declined.,in_17a030e3c82976,"{""user_id"": ""19"", ""attempt"": 1}",moorekenneth@example.org,normal,60
ch_2a69d08f4479d5,cus_e84b8de42d9e8d,19,31214,0,Eur,succeeded,True,sepa_debit,2025-02-11 10:12:22.734856,Subscription payment for plan price_9bb82d0e75aa7f,,,in_579ed63fd0b7e0,"{""user_id"": ""19"", ""attempt"": 2}",csmith@example.org,normal,61
ch_0ae732d2963e48,cus_b91855370b0f79,21,29900,0,Eur,succeeded,True,apple_pay,2025-01-08 18:03:53.486122,Subscription payment for plan price_a201898515af92,,,in_0e09492247bdff,"{""user_id"": ""21"", ""attempt"": 1}",josesavage@example.com,elevated,55
ch_a52536f1450a69,cus_b91855370b0f79,21,29900,0,usd,succeeded,True,card_visa,2025-02-07 10:03:43.486122,Recurring payment - month 2,,,in_4548bc4a0aeb80,"{""user_id"": ""21"", ""recurring_month"": 2}",,normal,9
ch_7523b03d5d39fe,cus_b91855370b0f79,21,29900,0,GBP,succeeded,True,sepa_debit,2025-03-09 18:03:43.486122,Recurring payment - month 3,,,in_aa69dd077d1abe,"{""user_id"": ""21"", ""recurring_month"": 3}",csteele@example.net,normal,15
